Property Name,Contact Person, Email,Contact Number,  Address,preferred_campus,accomodation_type,room_type,monthly_budget,safety_priority,distance_priority,high_speed_wifi,secure_parking,laundry_facilities,kitchen_access,security_24_7,gym_access,study_areas,public_transport
Bethel house 6 ,Innocent  Mwale,innocent.mwale5@gmail.com,718904569,"6 General Lategan Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",Any,Residance,any,4200,high,flexible,1,1,1,1,1,0,1,1
Samorwa Villages @ Aloe,Sibusiso Maqusa Sifiso  Skosana,sanchezskosana@gmail.com,791106720,"14 Fortuna Avenue, Bedworth Park, Vereeniging, South Africa",Any,Housing,any,4700,high,flexible,1,1,1,1,1,1,1,1
Nkumane property,Siphelele Nkumane,siphelele.nkumane@gmail.com,823107592,"31 Cornwallis Harris Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",Main Campus (Vanderbijlpark),Housing,single,4500,medium,moderate,1,1,1,1,0,0,1,0
Santrust Roval Student Accomodation extend,Mabuse Michael Monareng,monarengadv@gmail.com,727347882,"35 F W Beyers Street, Vanderbijlpark C. C., Vanderbijlpark, South Africa",Any,Housing,single,3400,high,flexible,1,1,1,1,1,1,1,0
The Boulevard Estate Unit 38,TEKE Mothibe,teke.mothibe@implats.co.za,713298012,"38 Piet Retief Boulevard, Vanderbijlpark S. E. 10, Vanderbijlpark, South Africa",Main Campus (Vanderbijlpark),Housing,single,5500,high,flexible,1,1,1,1,1,0,1,1
MAKGORA,Diapo Pompi Letsoalo,justicemafahle4@gmail.com,826029483,"36 Sparrman Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",Main Campus (Vanderbijlpark),Housing,single,4500,medium,moderate,1,1,1,1,0,0,1,0
HERBERT MSAGALA,Linyenga Makainene Herbert M,slmhmsagala@gmail.com,717278732,"20 Ganymede Avenue, Bedworth Park, Vereeniging, South Africa",Main Campus (Vanderbijlpark),shared house,shared,3500,medium,close,1,1,1,1,1,0,1,0
Goodyear Square,Gideon Louw,jannien@louwsconstruction.co.za,833740480,"Goodyear Street, Vanderbijlpark C. W. 6, Vanderbijlpark, South Africa",Any,Housing,single,3300,high,flexible,1,1,1,1,1,0,1,1
Lamola Estates ,Lesiba Lamola,lamolaestates@gmail.com,768889395,"25 Cornwallis Harris Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",Main Campus (Vanderbijlpark),Housing,single,4300,medium,moderate,1,1,1,1,0,0,1,0
Tshiamelo Lofts,Reshma Sewraj,admin@tshiamelo.co.za,615343848,"29 Penelope Street, Bedworth Park, Vereeniging, South Africa",Main Campus (Vanderbijlpark),Housing,single,2900,medium,close,1,1,1,1,0,0,1,0
BCM Property (PTY) LTD,Deslandi Fernando,info.egi22@gmail.com,746001884,"5 Sammons Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",Any,Apartment,any,3600,high,flexible,1,1,1,1,1,0,1,1
JODIPATH ACCOMODATION,seipati modikoane,seipati@tsenene.co.za,838542208,"4 Athenia Avenue, Bedworth Park, Vereeniging, South Africa",Main Campus (Vanderbijlpark),shared house,shared,2600,high,close,1,1,1,1,1,0,1,0
House 38 - ii,Adetomiwa Adenle ,jerade.investment@gmail.com,617446672,"38 Penelope Street, Bedworth Park, Vereeniging, South Africa",Main Campus (Vanderbijlpark),shared house,shared,3900,high,close,1,1,1,1,1,0,1,0
22 Aurora Student Living,Thabang Mbembele,tmogotsi@pro-servegroup.com,792973109,"22 Aurora Avenue, Bedworth Park, Vereeniging, South Africa",Main Campus (Vanderbijlpark),Housing,single,4600,medium,close,1,1,1,1,1,0,1,0
ABAVIVA STUDENT ACCOMODATION,Molemo Ralefeta,ralefetamolemo8@gmail.com,815477341,"24-26 Sparrman Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",Main Campus (Vanderbijlpark),Housing,single,2500,medium,moderate,1,1,1,1,1,0,1,0
Taung Village,Johannes Marcus Floor,mark@propcon.net,845551247,"Longfellow Street, Vanderbijlpark C. W. 6, Vanderbijlpark, South Africa",Any,Housing,single,3500,high,flexible,1,1,1,1,1,0,1,1
MNK Student Accomodation,Livhuwani Rosemary Ndou,mbedzintike@gmail.com,793559816,"14 William Porter Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",Main Campus (Vanderbijlpark),Housing,single,3700,medium,moderate,1,1,1,1,1,0,1,0
Khayalihle Student Accommodation,Maanda Nemadandila,nem5753@gmail.com,739600031,"11 Andries Potgieter Boulevard, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",Main Campus (Vanderbijlpark),Apartment,single,5800,high,flexible,1,1,1,1,1,0,1,1
Extension B 13 Sparrman,James Kurewa,jtkureva@gmail.com,618778514,"13 Sparrman Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",Main Campus (Vanderbijlpark),Housing,single,5300,medium,moderate,1,1,1,1,0,0,1,0
J And D Property Management,Olalekan Fapohunda,biznessengineofficial@gmail.com,733599261,"57 General Froneman Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",Main Campus (Vanderbijlpark),Housing,single,2400,medium,moderate,1,1,1,1,0,0,1,0
Wongke Properties,Matello  Sambo,keke.sambo4@gmail.com,722377802,"10 Fortuna Avenue, Bedworth Park, Vereeniging, South Africa",Main Campus (Vanderbijlpark),Housing,single,2100,medium,close,1,1,1,1,0,0,1,0
Paradise Properties,MANDLENKOSI SWABATA LINDA,joslyn@paradiseinv.co.za,645241650,"15 Andries Potgieter Boulevard, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",Main Campus (Vanderbijlpark),Apartment,single,5050,high,flexible,1,1,1,1,1,0,1,1
25 CASSANDRA AVENUE,MAKHOSONKE SANGWENI,makho2060@gmail.com,713501475,"Cassandra Avenue, Bedworth Park, Vereeniging, South Africa",Main Campus (Vanderbijlpark),Housing,single,3500,medium,close,1,1,1,1,0,0,1,0
HAFH Property,Gideon Keabetswe Kubu,kubu@kwenatisolutions.co.za,823872123,"52 General Froneman Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",Main Campus (Vanderbijlpark),Housing,single,3400,medium,close,1,1,1,1,0,1,1,0
House 9 Student Accommodation,Simon Maile,maile.simon@yahoo.com,734885341,"9 Henri Van Wyk Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",Main Campus (Vanderbijlpark),Housing,single,2700,medium,close,1,1,1,1,0,1,1,0
REGGY'S STUDENT ACCOM,Aobakwe Reginald Mayoyo,aobakwe.mayoyo@yahoo.com,794725026,"46 Hans Van Rensburg Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",Main Campus (Vanderbijlpark),Housing,single,2600,medium,close,1,1,1,1,0,0,1,0
LUCKY ALFRED TJEGE,LUCKY TJEGE,veztp@hotmail.com,768173887,"26 Cornwallis Harris Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",Main Campus (Vanderbijlpark),Housing,single,5000,medium,close,1,1,1,1,0,0,1,0
Grad Accommodations,Seth Emmanuel Sikhwivhilu,sikhwivhiluse@gmail.com,729690251,"11 Helios Avenue, Bedworth Park, Vereeniging, South Africa",Main Campus (Vanderbijlpark),shared house,shared,2200,high,close,1,1,1,1,1,0,1,0
Stephen & Bassie (J) accommodation ,Irlyne Mabote,bobikimalekgotla@yahoo.com,697534051,"7 Athenia Avenue, Bedworth Park, Vereeniging, South Africa",Main Campus (Vanderbijlpark),Housing,single,3500,medium,close,1,1,1,1,0,0,1,0
VSR,Mpho  Khorombi ,mpho5761@live.com,745555272,"33 Ganymede Avenue, Bedworth Park, Vereeniging, South Africa",Main Campus (Vanderbijlpark),Housing,single,2800,medium,close,1,1,1,1,0,0,1,0
Rocharl student accommodation 1 - Boreas,Mukhethwa Mudau,rocharlaccomodation@gmail.com,659356995,"Vereeniging Road, Vereeniging, South Africa",Any,Housing,single,3800,high,flexible,1,1,1,1,1,0,1,1
Rokha Student Housing,Mphedziseni Rollet Masakona,rollet.masakona@gmail.com,834695986,"23 William Porter Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",Main Campus (Vanderbijlpark),Housing,single,3500,medium,close,1,1,1,1,0,0,1,0
Ishmael and Janet,Thulani Mkoena,mamailula2023@gmail.com,658776288,"33 Andries Potgieter Boulevard, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",Main Campus (Vanderbijlpark),Apartment,single,5500,high,close,1,1,1,1,1,1,1,0
Achiev8 Solutions- 19 James Chapman Str,Matthews Tebakang,tebakangm@guardrisk.co.za,835515125,"19 James Chapman Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Gida Student Palace 1,Khusela Sipika,khuselasipika2@gmail.com,814763922,"no 25 Edwin Conroy Street, Vanderbijlpark S. E. 7, Vanderbijlpark, Sedibeng District ",,,,,,,1,1,1,1,,,,
Georgemareka,Jankie George Mareka,georgemareka@gmail.com,760195246,"44 Sparrman Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Zenzele Zotsho Student accomodation ,Mzimhle Xolani Sylvester Manka,mankazanamxsd@gmail.com,27827113219,"33 Penelope Road, Bedworth Park, Vereeniging, Gauteng, 1939, South Africa",,,,,,,1,1,1,1,,,,
Mathe's accommodation ,Hector Mathebula,sbudamathebula@gmail.com,732855673,"17 William Porter Street, Vanderbijlpark S. E. 7, Vanderbijlpark, Gauteng, 1911, Sou",,,,,,,1,1,1,1,,,,
BPM Students Village,Khambule Joshua Mosia,khambulem@gmail.com,814812556,"7 Aurora Avenue, Bedworth Park, Vereeniging, South Africa",,,,,,,1,1,1,1,,,,
Khalifa housing complex,Tshokolo Frans Pholoana,tpf4281@gmail.com,738077957,"18 Henri Van Wyk Street, Vanderbijlpark S. E. 7, Vanderbijlpark, Gauteng, 1911, Sou",,,,,,,1,1,1,1,,,,
Al Haya Housing Complex ,Tshepo Lephoto,tshepo.monty@yahoo.com,699741468,"Fortuna Avenue, Bedworth Park, Vereeniging, Gauteng, 1939, South Africa",,,,,,,1,1,1,1,,,,
KHUTLO VILLAGE,Mapule Violet Mokhethi,kingkgosiproperties@yahoo.com,730004943,"51 Col Gordon Street, Vanderbijlpark S. E. 7, Vanderbijlpark, Gauteng, South Africa",,,,,,,1,1,1,1,,,,
Liberty Homes,Charles Tatenda Hlanganiso,hlanganisoc@yahoo.co.uk,718214219,"Hugo Naude Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Uanda properties ,Richard Netsianda,netsiandarich@yahoo.com,832000206,"2 Willie Collins Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Lavigen Lofts,Arnold Muganhu,arnold@lavigen.co.za,799441845,"41 Penelope Street, Bedworth Park, Vereeniging, South Africa",,,,,,,1,1,1,1,,,,
KNSL PROJECTS ,Kori Jantjie Rasenyalo,korirasenyalo5@gmail.com,723226125,"5 Andrew Murray Street, Vanderbijlpark S. E. 7, Vanderbijlpark, Gauteng, 1911, Sou",,,,,,,1,1,1,1,,,,
ILANGA,Mapule Violet Mokhethi,kingkgosiproperties@yahoo.com,730004943,"8 Andrew Murray Street, Vanderbijlpark S. E. 7, Vanderbijlpark, Gauteng, South Afri",,,,,,,1,1,1,1,,,,
AYANDA STUDENT HOUSE ,Ewert Shimmy Vuso,shimmyvuso@gmail.com,725968336,"19 Theo Wendt Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Graceland Student Accommodation ,Rikkie Tshimangadzo,rmususumeli@gmail.com,837148968,"7 Theo Wendt Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Royal Park Students Accommodation,Oluwatayo Akeem Ajibade,tayo@definiteshelter.co.za,680249663,"4 Gill Street, Vanderbijlpark C. W. 2, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Nkumane property investment ,Siphelele Nkumane,siphelele.nkumane@gmail.com,823107592,"3 William Porter Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Siphelele Nkumane ,Siphelele Nkumane,siphelele.nkumane@gmail.com,823107592,"7 William Porter Street, Vanderbijlpark S. E. 7, Vanderbijlpark, Gauteng, 1911, South",,,,,,,1,1,1,1,,,,
 Nkumane investment ,Siphelele Nkumane,siphelele.nkumane@gmail.com,823107592,"23 Edwin Conroy Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
m and m hnaro,MPHO HNARO,tsoarimpho@gmail.com,743236593,"21 Cornwallis Harris Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Good Hope,Nomsebenzi Pitso,masterpiecetrade57@gmail.com,763985390,"34 Hans Van Rensburg Street, Vanderbijlpark S. E. 7, Vanderbijlpark, Gauteng, 1911",,,,,,,1,1,1,1,,,,
Intathakusa ,Khumbuzo Mahlobo,ddmahlobo@gmail.com,672277738,"Theo Wendt Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Intathakusa  House 1,Khumbuzo Mahlobo,ddmahlobo@gmail.com,672277738,"25 Sparrman Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
L E MABELANE,Letjitlane  Elson Mabelane,lemabelane@gmail.com,792504390,"12 William Porter Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Kibana Housing,Thabiso Hemilton Lekala,hemisdy@gmail.com,768760497,"41 Piet Retief Boulevard, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
28 Hans van Rensburg,Thandi Florence Ncombolo,thandi.ncombolo@gmail.com,846665772,"28 Hans Van Rensburg Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
27 on Helios,Trevor Herbert,wayne53herbert@gmail.com,823213016,"27 Helios Avenue, Bedworth Park, Vereeniging, Gauteng, 1939, South Africa",,,,,,,1,1,1,1,,,,
FUYAMO STUDENT HOUSE ,ZWIVHUYA TSHIVHENGA,tshivhengaz@gmail.com,799080772,"17 Colonel Blake Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
V&M House,Mamorena Ramosoeu,mamorenaramosoeu@gmail.com,823892643,"7 Cornwallis Harris Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Amberfield Village,Johannes Marcus Floor,mark@propcon.net,845551247,"9 Jenner Street, Vanderbijlpark C. W. 3, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Park Village,Johannes Marcus Floor,mark@propcon.net,845551247,"Klasie Havenga Street, Vanderbijlpark C. C., Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Pamanda Properties,Kholeka Petunia Mkhize,info@pamandaproperties.co.za,739787823,"47 Stanley Avenue, Vereeniging, South Africa",,,,,,,1,1,1,1,,,,
Ithacademic Ganymede,Thabiso Thebe,tthebe@ithacademic.co.za,615665443,"4 Ganymede Avenue, Bedworth Park, Vereeniging, South Africa",,,,,,,1,1,1,1,,,,
Kwandokuhle ,Sibongile Zanele Manyike,zazaxaba@gmail.com,823277555,"9 William Porter Street, Vanderbijlpark S. E. 7, Vanderbijlpark, Gauteng, 1911, South",,,,,,,1,1,1,1,,,,
FLOXY TRADING AND PROJECTS,Kuvin Florence Bungu,flokuvin@yahoo.com,781412302,"57 Cornwallis Harris Street, Vanderbijlpark S. E. 7, Vanderbijlpark, Gauteng, 1911, S",,,,,,,1,1,1,1,,,,
Bolomo Properties,Abel Bigboy Moatshe,abel.moatshe@gmail.com,728108764,"23 Theo Wendt Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Ralu accomodation 65 Cornwallis,Balanganani Comfort Muofhe,b_muofhe@yahoo.com,719118922,"65 Cornwallis Harris Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Bokamoso Student House,Jabulile Nobuhle Kashama,kashnawej@gmail.com,620357873,"4 Gertrude Page Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Nowhere,Kagiso Sechaba More,kagisosechabamore@gmail.com,718467038,"9 General Froneman Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
VUSERIC STUDENT ACCOMMODATION,NDIVHUHO ERIC MAMPHISWAN,mamphisw@hotmail.com,824322547,"14 Edwin Conroy Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
4 Pallas Road,Goodwill Hitekani Nkuna,goodwillhitekani@gmail.com,737463490,"GHK Solutions (Pty) Ltd, 4 Pallas Road, Bedworth Park, Vereeniging, South Africa",,,,,,,1,1,1,1,,,,
Bolomo Properties ( house 2),Abel Bigboy Moatshe,abel.moatshe@gmail.com,728108764,"2 Gertrude Page Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
THE COMMUNE STUDENT ACCOMODATION,MAETSO PHENYO MONTWEDI,montwediphenyo@gmail.com,735278958,"28 Cornwallis Harris Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Oritshidza Enterprise,Thivhilaheli Netsianda,solly.netsianda@icloud.com,606484279,"8 Bellona Avenue, Bedworth Park, Vereeniging, South Africa",,,,,,,1,1,1,1,,,,
Leora House,Motlalepula Dlamini,felixmd.md@gmail.com,731799831,"30 General Froneman Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
GP Leora House,Motlalepula Dlamini,felixmd.md@gmail.com,731799831,"3 Gertrude Page Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Dithsegofatso Student Accommodation ,Tsholofelo Lesito,tsholofelo.lesito@gmail.com,733402909,"5 William Porter Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Sharne Motala Properties,Sharne Motala,sharnemotalapty@gmail.com,834869941,"107 Piet Retief Boulevard, Vanderbijlpark S. E. 1, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Treetops,Lucky moyagabo Maifo,luckymaifo@gmail.com,725410924,"23 Andrew Murray Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
51 Cornwallis Harris Street ,Ntshebo Moeketsi,tshebisn@gmail.com,718776992,"51 Cornwallis Harris Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Mpuse Accommodation ,Tsiliso Mohlabane,tt3769012@gmail.com,782514586,"22 Gertrude Page Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Makgatho Housing ,Makgatho Mashabathakga,makgathohousing.student@gmail.com,812958295,"14 Henri Van Wyk Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
hope and fortune (hnf),Fortune Mathume,format87@yahoo.com,638274474,"2 Pallas Road, Bedworth Park, Vereeniging, Gauteng, 1939, South Africa",,,,,,,1,1,1,1,,,,
20 Edwin Conroy SE7 vanderbijlpark 1911 ,Ewert Shimmy Vuso,shimmyvuso@gmail.com,725968336,"20 Edwin Conroy Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
JUNXION,CONNIE RADEMAN,connix.rademan@gmail.com,711728298,"28 Sirius Road, Bedworth Park, Vereeniging, South Africa",,,,,,,1,1,1,1,,,,
TSO's Student Accomodation,Kgotso Ndlovu,kgotso.ndlovu@gmail.com,763960062,"28 Aurora Avenue, Bedworth Park, Vereeniging, South Africa",,,,,,,1,1,1,1,,,,
30 Piet Retief BLVD,Dumisane Mnisi,makofanephanky.pomby@gmail.com,730793579,"30 Piet Retief Boulevard, Vanderbijlpark S. E. 6, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Hamantsi,Charles Radebe Radebe,tebohoradebe.tr.tr@gmail.com,787981600,"8 Morrees Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Bedworthlake Student Accommodation,Kevin Kruger,kevin@bedworthlake.co.za,765224409,"6 Penelope Street, Bedworth Park, Vereeniging, Gauteng, 1940, South Africa",,,,,,,1,1,1,1,,,,
Octavia Walter Courts,Sphelele Sifiso Sibiya,sphe.sibiya@gmail.com,636909669,"6 Mansfelt Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Moche Properties ,Eddie Klaas,mocheproperties@gmail.com,733983165,"13 Orion Road, Bedworth Park, Vereeniging, South Africa",,,,,,,1,1,1,1,,,,
23 Pallas Road,Mahlori Mageza,mahlori.mageza@gmail.com,724234365,"23 Pallas Road, Bedworth Park, Vereeniging, Gauteng, 1939, South Africa",,,,,,,1,1,1,1,,,,
Othingweni solutions ,Madoda Aurthur Kubheka,madodakubheka12@gmail.com,630538961,"38 Sparrman Street, Vanderbijlpark S. E. 7, Vanderbijlpark, Gauteng, 1911, South Af",,,,,,,1,1,1,1,,,,
Ngcezu Student accomodation,Monwabisi Theo Ngcezu,mtngcezu@gmail.com,716030491,"14 General Lategan Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Wizlink Accommodation,Lloyd Wizzy Khuzwayo,pappawizzy@gmail.com,721197050,"17 Henri Van Wyk Street, Vanderbijlpark S. E. 7, Vanderbijlpark, Gauteng, 1911, Sou",,,,,,,1,1,1,1,,,,
GSA,Busisiwe Sibiya,nzilephile@gmail.com,737305630,"16 Athenia Avenue, Bedworth Park, Vereeniging, South Africa",,,,,,,1,1,1,1,,,,
21 Andrew Murray,Motanya Sekgobela,m.esekgobela@gmail.com,837970763,"21 Andrew Murray Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Rehoboth Way,Phalenyane Madisakwane,p.madisakwane@gmail.com,718835872,"29 Aurora Avenue, Bedworth Park, Vereeniging, South Africa",,,,,,,1,1,1,1,,,,
Mpinga Properties,Ongama Soka,ongamasoka@gmail.com,824915673,"19 Colonel Blake Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Golden Nest Student Accommodation,Mvula Maduna,jake.gnh0@gmail.com,749422003,"25 Bellona Avenue, Bedworth Park, Vereeniging, Gauteng, 1939, South Africa",,,,,,,1,1,1,1,,,,
Maelys,Tshiyembi Junior Mukoka,tjmukoka@gmail.com,760470968,"10 Hugo Naude Street, Vanderbijlpark S. E. 7, Vanderbijlpark, Gauteng, 1911, South",,,,,,,1,1,1,1,,,,
Maelys 2,Tshiyembi Junior Mukoka,tjmukoka@gmail.com,760470968,"11 Sammons Street, Vanderbijlpark S. E. 7, Vanderbijlpark, Gauteng, 1911, South Af",,,,,,,1,1,1,1,,,,
Zawadi Place ,Gerald Mohlahlo,khosimohlahlo@gmail.com,723152215,"28 Cassandra Avenue, Bedworth Park, Vereeniging, South Africa",,,,,,,1,1,1,1,,,,
